mass,x,y,vx,vy
1e+14,-8.83599,-6.42774,-97.4705,13.0131
1e+14,-9.518,-9.09235,90.3711,67.609
1e+14,4.78714,-2.46285,48.5984,-7.25603
1e+14,-2.11996,9.91025,67.9999,73.7061
1e+14,1.99383,-9.65888,15.4809,-11.9462
1e+14,5.7251,1.70751,31.4669,64.9406
1e+14,2.30527,4.66086,-18.861,3.38092
1e+14,-8.43076,4.24064,-49.0079,-75.1999
1e+14,0.166511,-1.46981,-75.1924,40.5308
1e+14,0.3283,-2.25416,-31.2149,-28.1309
1e+14,6.38415,-1.53941,-57.0322,60.2525
1e+14,4.43409,3.7344,70.8034,-7.92263
1e+14,3.11122,-9.70936,39.8613,-51.8337
1e+14,1.44413,-8.48728,-51.303,-50.1092
1e+14,-4.39416,7.43907,-57.5818,22.5118
1e+14,-3.44374,1.14466,83.8794,-38.2004
1e+14,-8.20953,2.48716,-17.2694,-46.7354
1e+14,-7.1467,5.47422,17.4056,-64.2989
1e+14,-8.56424,0.889063,52.8378,45.7973
1e+14,2.14095,3.01095,24.7211,87.1435
1e+14,2.8441,0.875335,50.5514,18.0894
1e+14,4.7763,-4.68421,-82.527,-31.5673
1e+14,6.85847,-9.67842,-75.2135,86.5394
1e+14,-5.20901,-7.87598,-51.8718,-9.93944
1e+14,-5.66576,-4.44602,84.5051,76.2387
1e+14,-7.29615,-6.44861,-43.3551,-69.1065
1e+14,3.7531,-1.70266,-17.7034,58.8349
1e+14,7.25976,-5.18152,34.1887,8.77448
1e+14,5.1291,4.72028,-58.5002,-13.646
1e+14,9.42616,5.4091,-63.1367,61.2896
1e+14,6.9471,-0.0417309,-91.9232,46.8894
1e+14,2.84072,3.91721,-13.5828,-86.3076
1e+14,-2.4618,4.53673,-34.4423,-71.2218
1e+14,-0.468777,1.2829,88.2912,-88.9037
1e+14,7.87166,-0.994686,16.3017,-17.3333
1e+14,4.6432,-1.74151,23.1028,88.1327
1e+14,-6.38499,7.52536,-95.7926,13.3954
1e+14,7.46669,-7.40505,-12.7454,-12.0977
1e+14,8.14946,7.97914,33.1565,61.5268
1e+14,1.21172,5.31923,53.3697,-14.7907
1e+14,-7.36603,-0.949183,2.45628,82.7587
1e+14,-5.60361,0.119758,70.8586,-79.1251
1e+14,-9.98666,-5.84465,-72.2727,-86.8269
1e+14,6.77442,-2.24259,90.5172,-77.428
1e+14,1.51041,5.53142,88.1399,-32.6522
1e+14,-4.91095,1.71662,66.2036,83.4147
1e+14,-5.57468,6.35533,-87.995,68.2778
1e+14,1.19846,2.49389,-59.408,-70.101
1e+14,-1.13704,9.75773,-52.7437,-64.1287
1e+14,9.15596,4.21954,-18.04,1.14783
1e+14,-5.45745,-3.31034,-21.3689,53.1889
1e+14,-0.40004,-3.47159,30.3568,6.99685
1e+14,9.4818,0.604037,-70.1545,-85.9942
1e+14,4.60401,-0.43974,-79.5053,-45.5497
1e+14,2.25781,7.06649,92.8097,52.2653
1e+14,4.59077,-2.93403,65.2571,-24.0706
1e+14,9.38739,-6.17245,78.094,-73.5709
1e+14,-4.67214,-4.59628,-3.90575,-43.925
1e+14,5.22914,6.19599,-95.9072,87.8237
1e+14,-5.52842,3.79367,-40.0634,54.7715
1e+14,0.627174,0.925323,2.13121,19.3019
1e+14,1.45026,-5.50322,-80.9149,62.927
1e+14,9.23177,-1.59072,73.8088,-95.5618
1e+14,5.81965,-9.1695,47.3716,-25.3312
1e+14,4.06397,3.09052,82.1359,57.6332
1e+14,5.81732,-8.24046,23.1415,-61.5899
1e+14,1.70238,-8.16744,26.3686,-22.3825
1e+14,3.80048,-5.3436,98.8497,-32.3295
1e+14,0.901411,-9.98761,-99.3211,-89.7954
1e+14,3.90131,9.27822,-16.9664,45.2335
1e+14,9.74643,8.18099,-9.71278,-42.5955
1e+14,0.223598,-1.99592,-21.6674,35.4734
1e+14,2.42446,7.87173,-53.5332,67.7351
1e+14,-0.0740805,-5.07995,1.23859,16.9096
1e+14,4.95609,-3.03965,13.5206,40.6765
1e+14,8.90715,2.45458,-74.3232,50.3415
